
Grid Search Results:

Results for lag_0:
Grid Search Results with Lag:

Decay Model: Exponential, Parameter: 0.05, Period Type: hour, Period Amount: 1, Correlation: 0.1368
Decay Model: Exponential, Parameter: 0.1, Period Type: hour, Period Amount: 1, Correlation: 0.1572
Decay Model: Exponential, Parameter: 0.2, Period Type: hour, Period Amount: 1, Correlation: 0.1649
Decay Model: Exponential, Parameter: 0.01, Period Type: hour, Period Amount: 1, Correlation: 0.0583
Decay Model: Exponential, Parameter: 0.02, Period Type: hour, Period Amount: 1, Correlation: 0.1001
Decay Model: Exponential, Parameter: 0.3, Period Type: hour, Period Amount: 1, Correlation: 0.1656
Decay Model: Exponential, Parameter: 0.4, Period Type: hour, Period Amount: 1, Correlation: 0.1656
Decay Model: Exponential, Parameter: 0.5, Period Type: hour, Period Amount: 1, Correlation: 0.1657
Decay Model: Exponential, Parameter: 0.05, Period Type: hour, Period Amount: 2, Correlation: 0.1105
Decay Model: Exponential, Parameter: 0.1, Period Type: hour, Period Amount: 2, Correlation: 0.1368
Decay Model: Exponential, Parameter: 0.2, Period Type: hour, Period Amount: 2, Correlation: 0.1572
Decay Model: Exponential, Parameter: 0.01, Period Type: hour, Period Amount: 2, Correlation: 0.0114
Decay Model: Exponential, Parameter: 0.02, Period Type: hour, Period Amount: 2, Correlation: 0.0583
Decay Model: Exponential, Parameter: 0.3, Period Type: hour, Period Amount: 2, Correlation: 0.1632
Decay Model: Exponential, Parameter: 0.4, Period Type: hour, Period Amount: 2, Correlation: 0.1649
Decay Model: Exponential, Parameter: 0.5, Period Type: hour, Period Amount: 2, Correlation: 0.1654
Decay Model: Exponential, Parameter: 0.05, Period Type: hour, Period Amount: 3, Correlation: 0.0904
Decay Model: Exponential, Parameter: 0.1, Period Type: hour, Period Amount: 3, Correlation: 0.1221
Decay Model: Exponential, Parameter: 0.2, Period Type: hour, Period Amount: 3, Correlation: 0.1465
Decay Model: Exponential, Parameter: 0.01, Period Type: hour, Period Amount: 3, Correlation: -0.0133
Decay Model: Exponential, Parameter: 0.02, Period Type: hour, Period Amount: 3, Correlation: 0.0305
Decay Model: Exponential, Parameter: 0.3, Period Type: hour, Period Amount: 3, Correlation: 0.1572
Decay Model: Exponential, Parameter: 0.4, Period Type: hour, Period Amount: 3, Correlation: 0.1619
Decay Model: Exponential, Parameter: 0.5, Period Type: hour, Period Amount: 3, Correlation: 0.1640
Decay Model: Exponential, Parameter: 0.05, Period Type: day, Period Amount: 1, Correlation: -0.0376
Decay Model: Exponential, Parameter: 0.1, Period Type: day, Period Amount: 1, Correlation: -0.0001
Decay Model: Exponential, Parameter: 0.2, Period Type: day, Period Amount: 1, Correlation: 0.0458
Decay Model: Exponential, Parameter: 0.01, Period Type: day, Period Amount: 1, Correlation: -0.0675
Decay Model: Exponential, Parameter: 0.02, Period Type: day, Period Amount: 1, Correlation: -0.0655
Decay Model: Exponential, Parameter: 0.3, Period Type: day, Period Amount: 1, Correlation: 0.0731
Decay Model: Exponential, Parameter: 0.4, Period Type: day, Period Amount: 1, Correlation: 0.0904
Decay Model: Exponential, Parameter: 0.5, Period Type: day, Period Amount: 1, Correlation: 0.1021
Decay Model: Exponential, Parameter: 0.05, Period Type: day, Period Amount: 2, Correlation: -0.0617
Decay Model: Exponential, Parameter: 0.1, Period Type: day, Period Amount: 2, Correlation: -0.0376
Decay Model: Exponential, Parameter: 0.2, Period Type: day, Period Amount: 2, Correlation: -0.0001
Decay Model: Exponential, Parameter: 0.01, Period Type: day, Period Amount: 2, Correlation: -0.0634
Decay Model: Exponential, Parameter: 0.02, Period Type: day, Period Amount: 2, Correlation: -0.0675
Decay Model: Exponential, Parameter: 0.3, Period Type: day, Period Amount: 2, Correlation: 0.0261
Decay Model: Exponential, Parameter: 0.4, Period Type: day, Period Amount: 2, Correlation: 0.0458
Decay Model: Exponential, Parameter: 0.5, Period Type: day, Period Amount: 2, Correlation: 0.0610
Decay Model: Exponential, Parameter: 0.05, Period Type: day, Period Amount: 3, Correlation: -0.0673
Decay Model: Exponential, Parameter: 0.1, Period Type: day, Period Amount: 3, Correlation: -0.0539
Decay Model: Exponential, Parameter: 0.2, Period Type: day, Period Amount: 3, Correlation: -0.0233
Decay Model: Exponential, Parameter: 0.01, Period Type: day, Period Amount: 3, Correlation: -0.0613
Decay Model: Exponential, Parameter: 0.02, Period Type: day, Period Amount: 3, Correlation: -0.0652
Decay Model: Exponential, Parameter: 0.3, Period Type: day, Period Amount: 3, Correlation: -0.0001
Decay Model: Exponential, Parameter: 0.4, Period Type: day, Period Amount: 3, Correlation: 0.0183
Decay Model: Exponential, Parameter: 0.5, Period Type: day, Period Amount: 3, Correlation: 0.0333
Decay Model: Exponential, Parameter: 0.05, Period Type: week, Period Amount: 1, Correlation: -0.0656
Decay Model: Exponential, Parameter: 0.1, Period Type: week, Period Amount: 1, Correlation: -0.0679
Decay Model: Exponential, Parameter: 0.2, Period Type: week, Period Amount: 1, Correlation: -0.0585
Decay Model: Exponential, Parameter: 0.01, Period Type: week, Period Amount: 1, Correlation: -0.0591
Decay Model: Exponential, Parameter: 0.02, Period Type: week, Period Amount: 1, Correlation: -0.0608
Decay Model: Exponential, Parameter: 0.3, Period Type: week, Period Amount: 1, Correlation: -0.0444
Decay Model: Exponential, Parameter: 0.4, Period Type: week, Period Amount: 1, Correlation: -0.0312
Decay Model: Exponential, Parameter: 0.5, Period Type: week, Period Amount: 1, Correlation: -0.0196
Decay Model: Exponential, Parameter: 0.05, Period Type: week, Period Amount: 2, Correlation: -0.0616
Decay Model: Exponential, Parameter: 0.1, Period Type: week, Period Amount: 2, Correlation: -0.0656
Decay Model: Exponential, Parameter: 0.2, Period Type: week, Period Amount: 2, Correlation: -0.0679
Decay Model: Exponential, Parameter: 0.01, Period Type: week, Period Amount: 2, Correlation: -0.0584
Decay Model: Exponential, Parameter: 0.02, Period Type: week, Period Amount: 2, Correlation: -0.0591
Decay Model: Exponential, Parameter: 0.3, Period Type: week, Period Amount: 2, Correlation: -0.0646
Decay Model: Exponential, Parameter: 0.4, Period Type: week, Period Amount: 2, Correlation: -0.0585
Decay Model: Exponential, Parameter: 0.5, Period Type: week, Period Amount: 2, Correlation: -0.0515
Decay Model: Exponential, Parameter: 0.05, Period Type: week, Period Amount: 3, Correlation: -0.0602
Decay Model: Exponential, Parameter: 0.1, Period Type: week, Period Amount: 3, Correlation: -0.0631
Decay Model: Exponential, Parameter: 0.2, Period Type: week, Period Amount: 3, Correlation: -0.0673
Decay Model: Exponential, Parameter: 0.01, Period Type: week, Period Amount: 3, Correlation: -0.0582
Decay Model: Exponential, Parameter: 0.02, Period Type: week, Period Amount: 3, Correlation: -0.0586
Decay Model: Exponential, Parameter: 0.3, Period Type: week, Period Amount: 3, Correlation: -0.0679
Decay Model: Exponential, Parameter: 0.4, Period Type: week, Period Amount: 3, Correlation: -0.0661
Decay Model: Exponential, Parameter: 0.5, Period Type: week, Period Amount: 3, Correlation: -0.0627
Decay Model: Harmonic, Parameter: 0.05, Period Type: hour, Period Amount: 1, Correlation: 0.1541
Decay Model: Harmonic, Parameter: 0.1, Period Type: hour, Period Amount: 1, Correlation: 0.1541
Decay Model: Harmonic, Parameter: 0.2, Period Type: hour, Period Amount: 1, Correlation: 0.1541
Decay Model: Harmonic, Parameter: 0.01, Period Type: hour, Period Amount: 1, Correlation: 0.1541
Decay Model: Harmonic, Parameter: 0.02, Period Type: hour, Period Amount: 1, Correlation: 0.1541
Decay Model: Harmonic, Parameter: 0.3, Period Type: hour, Period Amount: 1, Correlation: 0.1541
Decay Model: Harmonic, Parameter: 0.4, Period Type: hour, Period Amount: 1, Correlation: 0.1541
Decay Model: Harmonic, Parameter: 0.5, Period Type: hour, Period Amount: 1, Correlation: 0.1541
Decay Model: Harmonic, Parameter: 0.05, Period Type: hour, Period Amount: 2, Correlation: 0.1431
Decay Model: Harmonic, Parameter: 0.1, Period Type: hour, Period Amount: 2, Correlation: 0.1431
Decay Model: Harmonic, Parameter: 0.2, Period Type: hour, Period Amount: 2, Correlation: 0.1431
Decay Model: Harmonic, Parameter: 0.01, Period Type: hour, Period Amount: 2, Correlation: 0.1431
Decay Model: Harmonic, Parameter: 0.02, Period Type: hour, Period Amount: 2, Correlation: 0.1431
Decay Model: Harmonic, Parameter: 0.3, Period Type: hour, Period Amount: 2, Correlation: 0.1431
Decay Model: Harmonic, Parameter: 0.4, Period Type: hour, Period Amount: 2, Correlation: 0.1431
Decay Model: Harmonic, Parameter: 0.5, Period Type: hour, Period Amount: 2, Correlation: 0.1431
Decay Model: Harmonic, Parameter: 0.05, Period Type: hour, Period Amount: 3, Correlation: 0.1328
Decay Model: Harmonic, Parameter: 0.1, Period Type: hour, Period Amount: 3, Correlation: 0.1328
Decay Model: Harmonic, Parameter: 0.2, Period Type: hour, Period Amount: 3, Correlation: 0.1328
Decay Model: Harmonic, Parameter: 0.01, Period Type: hour, Period Amount: 3, Correlation: 0.1328
Decay Model: Harmonic, Parameter: 0.02, Period Type: hour, Period Amount: 3, Correlation: 0.1328
Decay Model: Harmonic, Parameter: 0.3, Period Type: hour, Period Amount: 3, Correlation: 0.1328
Decay Model: Harmonic, Parameter: 0.4, Period Type: hour, Period Amount: 3, Correlation: 0.1328
Decay Model: Harmonic, Parameter: 0.5, Period Type: hour, Period Amount: 3, Correlation: 0.1328
Decay Model: Harmonic, Parameter: 0.05, Period Type: day, Period Amount: 1, Correlation: 0.0301
Decay Model: Harmonic, Parameter: 0.1, Period Type: day, Period Amount: 1, Correlation: 0.0301
Decay Model: Harmonic, Parameter: 0.2, Period Type: day, Period Amount: 1, Correlation: 0.0301
Decay Model: Harmonic, Parameter: 0.01, Period Type: day, Period Amount: 1, Correlation: 0.0301
Decay Model: Harmonic, Parameter: 0.02, Period Type: day, Period Amount: 1, Correlation: 0.0301
Decay Model: Harmonic, Parameter: 0.3, Period Type: day, Period Amount: 1, Correlation: 0.0301
Decay Model: Harmonic, Parameter: 0.4, Period Type: day, Period Amount: 1, Correlation: 0.0301
Decay Model: Harmonic, Parameter: 0.5, Period Type: day, Period Amount: 1, Correlation: 0.0301
Decay Model: Harmonic, Parameter: 0.05, Period Type: day, Period Amount: 2, Correlation: -0.0039
Decay Model: Harmonic, Parameter: 0.1, Period Type: day, Period Amount: 2, Correlation: -0.0039
Decay Model: Harmonic, Parameter: 0.2, Period Type: day, Period Amount: 2, Correlation: -0.0039
Decay Model: Harmonic, Parameter: 0.01, Period Type: day, Period Amount: 2, Correlation: -0.0039
Decay Model: Harmonic, Parameter: 0.02, Period Type: day, Period Amount: 2, Correlation: -0.0039
Decay Model: Harmonic, Parameter: 0.3, Period Type: day, Period Amount: 2, Correlation: -0.0039
Decay Model: Harmonic, Parameter: 0.4, Period Type: day, Period Amount: 2, Correlation: -0.0039
Decay Model: Harmonic, Parameter: 0.5, Period Type: day, Period Amount: 2, Correlation: -0.0039
Decay Model: Harmonic, Parameter: 0.05, Period Type: day, Period Amount: 3, Correlation: -0.0201
Decay Model: Harmonic, Parameter: 0.1, Period Type: day, Period Amount: 3, Correlation: -0.0201
Decay Model: Harmonic, Parameter: 0.2, Period Type: day, Period Amount: 3, Correlation: -0.0201
Decay Model: Harmonic, Parameter: 0.01, Period Type: day, Period Amount: 3, Correlation: -0.0201
Decay Model: Harmonic, Parameter: 0.02, Period Type: day, Period Amount: 3, Correlation: -0.0201
Decay Model: Harmonic, Parameter: 0.3, Period Type: day, Period Amount: 3, Correlation: -0.0201
Decay Model: Harmonic, Parameter: 0.4, Period Type: day, Period Amount: 3, Correlation: -0.0201
Decay Model: Harmonic, Parameter: 0.5, Period Type: day, Period Amount: 3, Correlation: -0.0201
