Grid Search Results with Lag:

Decay Model: Exponential, Parameter: 0.05, Period Type: hour, Period Amount: 1, Correlation: 0.0711
Decay Model: Exponential, Parameter: 0.1, Period Type: hour, Period Amount: 1, Correlation: 0.0914
Decay Model: Exponential, Parameter: 0.2, Period Type: hour, Period Amount: 1, Correlation: 0.1005
Decay Model: Exponential, Parameter: 0.01, Period Type: hour, Period Amount: 1, Correlation: 0.0320
Decay Model: Exponential, Parameter: 0.02, Period Type: hour, Period Amount: 1, Correlation: 0.0510
Decay Model: Exponential, Parameter: 0.3, Period Type: hour, Period Amount: 1, Correlation: 0.1013
Decay Model: Exponential, Parameter: 0.4, Period Type: hour, Period Amount: 1, Correlation: 0.1014
Decay Model: Exponential, Parameter: 0.5, Period Type: hour, Period Amount: 1, Correlation: 0.1014
Decay Model: Exponential, Parameter: 0.05, Period Type: hour, Period Amount: 2, Correlation: 0.0552
Decay Model: Exponential, Parameter: 0.1, Period Type: hour, Period Amount: 2, Correlation: 0.0711
Decay Model: Exponential, Parameter: 0.2, Period Type: hour, Period Amount: 2, Correlation: 0.0914
Decay Model: Exponential, Parameter: 0.01, Period Type: hour, Period Amount: 2, Correlation: 0.0023
Decay Model: Exponential, Parameter: 0.02, Period Type: hour, Period Amount: 2, Correlation: 0.0320
Decay Model: Exponential, Parameter: 0.3, Period Type: hour, Period Amount: 2, Correlation: 0.0984
Decay Model: Exponential, Parameter: 0.4, Period Type: hour, Period Amount: 2, Correlation: 0.1005
Decay Model: Exponential, Parameter: 0.5, Period Type: hour, Period Amount: 2, Correlation: 0.1011
Decay Model: Exponential, Parameter: 0.05, Period Type: hour, Period Amount: 3, Correlation: 0.0472
Decay Model: Exponential, Parameter: 0.1, Period Type: hour, Period Amount: 3, Correlation: 0.0608
Decay Model: Exponential, Parameter: 0.2, Period Type: hour, Period Amount: 3, Correlation: 0.0800
Decay Model: Exponential, Parameter: 0.01, Period Type: hour, Period Amount: 3, Correlation: -0.0167
Decay Model: Exponential, Parameter: 0.02, Period Type: hour, Period Amount: 3, Correlation: 0.0155
Decay Model: Exponential, Parameter: 0.3, Period Type: hour, Period Amount: 3, Correlation: 0.0914
Decay Model: Exponential, Parameter: 0.4, Period Type: hour, Period Amount: 3, Correlation: 0.0969
Decay Model: Exponential, Parameter: 0.5, Period Type: hour, Period Amount: 3, Correlation: 0.0994
Decay Model: Exponential, Parameter: 0.05, Period Type: day, Period Amount: 1, Correlation: -0.0377
Decay Model: Exponential, Parameter: 0.1, Period Type: day, Period Amount: 1, Correlation: -0.0063
Decay Model: Exponential, Parameter: 0.2, Period Type: day, Period Amount: 1, Correlation: 0.0250
Decay Model: Exponential, Parameter: 0.01, Period Type: day, Period Amount: 1, Correlation: -0.0672
Decay Model: Exponential, Parameter: 0.02, Period Type: day, Period Amount: 1, Correlation: -0.0646
Decay Model: Exponential, Parameter: 0.3, Period Type: day, Period Amount: 1, Correlation: 0.0395
Decay Model: Exponential, Parameter: 0.4, Period Type: day, Period Amount: 1, Correlation: 0.0472
Decay Model: Exponential, Parameter: 0.5, Period Type: day, Period Amount: 1, Correlation: 0.0518
Decay Model: Exponential, Parameter: 0.05, Period Type: day, Period Amount: 2, Correlation: -0.0606
Decay Model: Exponential, Parameter: 0.1, Period Type: day, Period Amount: 2, Correlation: -0.0377
Decay Model: Exponential, Parameter: 0.2, Period Type: day, Period Amount: 2, Correlation: -0.0063
Decay Model: Exponential, Parameter: 0.01, Period Type: day, Period Amount: 2, Correlation: -0.0638
Decay Model: Exponential, Parameter: 0.02, Period Type: day, Period Amount: 2, Correlation: -0.0672
Decay Model: Exponential, Parameter: 0.3, Period Type: day, Period Amount: 2, Correlation: 0.0126
Decay Model: Exponential, Parameter: 0.4, Period Type: day, Period Amount: 2, Correlation: 0.0250
Decay Model: Exponential, Parameter: 0.5, Period Type: day, Period Amount: 2, Correlation: 0.0334
Decay Model: Exponential, Parameter: 0.05, Period Type: day, Period Amount: 3, Correlation: -0.0665
Decay Model: Exponential, Parameter: 0.1, Period Type: day, Period Amount: 3, Correlation: -0.0528
Decay Model: Exponential, Parameter: 0.2, Period Type: day, Period Amount: 3, Correlation: -0.0251
Decay Model: Exponential, Parameter: 0.01, Period Type: day, Period Amount: 3, Correlation: -0.0619
Decay Model: Exponential, Parameter: 0.02, Period Type: day, Period Amount: 3, Correlation: -0.0654
Decay Model: Exponential, Parameter: 0.3, Period Type: day, Period Amount: 3, Correlation: -0.0063
Decay Model: Exponential, Parameter: 0.4, Period Type: day, Period Amount: 3, Correlation: 0.0072
Decay Model: Exponential, Parameter: 0.5, Period Type: day, Period Amount: 3, Correlation: 0.0173
Decay Model: Exponential, Parameter: 0.05, Period Type: week, Period Amount: 1, Correlation: -0.0657
Decay Model: Exponential, Parameter: 0.1, Period Type: week, Period Amount: 1, Correlation: -0.0673
Decay Model: Exponential, Parameter: 0.2, Period Type: week, Period Amount: 1, Correlation: -0.0574
Decay Model: Exponential, Parameter: 0.01, Period Type: week, Period Amount: 1, Correlation: -0.0597
Decay Model: Exponential, Parameter: 0.02, Period Type: week, Period Amount: 1, Correlation: -0.0614
Decay Model: Exponential, Parameter: 0.3, Period Type: week, Period Amount: 1, Correlation: -0.0439
Decay Model: Exponential, Parameter: 0.4, Period Type: week, Period Amount: 1, Correlation: -0.0320
Decay Model: Exponential, Parameter: 0.5, Period Type: week, Period Amount: 1, Correlation: -0.0220
Decay Model: Exponential, Parameter: 0.05, Period Type: week, Period Amount: 2, Correlation: -0.0622
Decay Model: Exponential, Parameter: 0.1, Period Type: week, Period Amount: 2, Correlation: -0.0657
Decay Model: Exponential, Parameter: 0.2, Period Type: week, Period Amount: 2, Correlation: -0.0673
Decay Model: Exponential, Parameter: 0.01, Period Type: week, Period Amount: 2, Correlation: -0.0589
Decay Model: Exponential, Parameter: 0.02, Period Type: week, Period Amount: 2, Correlation: -0.0597
Decay Model: Exponential, Parameter: 0.3, Period Type: week, Period Amount: 2, Correlation: -0.0636
